season,home_spread_close,sharp_signal_home,book_consensus_std,spread_movement_pts,open_implied_prob_home,line_movement,h2h_home_win_rate_10,h2h_home_pts_diff_10
2003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2006,0.8350951374207188,0.8322762508809021,0.8322762508809021,0.0,0.0,0.0,1.0,1.0
2007,0.9326718639262934,0.851169383416017,0.851169383416017,0.9319631467044649,0.9326718639262934,0.9319631467044649,1.0,1.0
2008,0.9228070175438596,0.8533333333333334,0.8533333333333334,0.9228070175438596,0.9228070175438596,0.9228070175438596,1.0,1.0
2009,0.9213483146067416,0.8764044943820225,0.8764044943820225,0.9206460674157303,0.9213483146067416,0.9206460674157303,1.0,1.0
2010,0.9219409282700421,0.8340365682137834,0.8340365682137834,0.9219409282700421,0.9219409282700421,0.9219409282700421,1.0,1.0
2011,1.0,0.9909420289855072,0.9909420289855072,0.9728260869565217,0.9728260869565217,0.9728260869565217,1.0,1.0
2012,0.9253521126760563,0.9105633802816901,0.9105633802816901,0.9253521126760563,0.9253521126760563,0.9253521126760563,1.0,1.0
2013,0.9243167484232656,0.8990889978976875,0.8990889978976875,0.9243167484232656,0.9243167484232656,0.9243167484232656,1.0,1.0
2014,0.9245416078984485,0.8913963328631875,0.8913963328631875,0.9245416078984485,0.9245416078984485,0.9245416078984485,1.0,1.0
2015,0.9293785310734464,0.885593220338983,0.885593220338983,0.9293785310734464,0.9293785310734464,0.9293785310734464,1.0,1.0
2016,0.9316725978647686,0.8896797153024911,0.8896797153024911,0.9316725978647686,0.9316725978647686,0.9316725978647686,1.0,1.0
2017,0.9507959479015919,0.8748191027496383,0.8748191027496383,0.9493487698986975,0.9493487698986975,0.9493487698986975,1.0,1.0
2018,0.9521044992743106,0.0,0.0,0.8925979680696662,0.9521044992743106,0.8925979680696662,1.0,1.0
2019,0.9210314262691378,0.0,0.0,0.8525382755842063,0.9210314262691378,0.8533440773569702,1.0,1.0
2020,0.9598360655737705,0.0,0.0,0.8852459016393442,0.9598360655737705,0.8852459016393442,1.0,1.0
2021,0.9524838012958964,0.0,0.0,0.8840892728581713,0.9524838012958964,0.8855291576673866,1.0,1.0
2022,0.9530346820809249,0.0,0.0,0.4790462427745665,0.9530346820809249,0.4790462427745665,1.0,1.0
2023,0.9537237888647867,0.0,0.0,0.0,0.9537237888647867,0.0,1.0,1.0
2024,0.9215017064846417,0.0,0.0,0.0,0.9215017064846417,0.0,1.0,1.0
